TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63756956268987,90.0,25.5,-0.5,0.0,65.0,--
63756956269984,68.3,3.7,-0.5,0.0,65.0,--
63756956270987,65.4,0.9,-0.5,0.0,65.0,--
63756956271980,66.5,2.0,-0.5,0.0,65.0,--
63756956272990,65.2,0.6,-0.5,0.0,65.0,--
63756956273983,66.4,1.9,-0.5,0.0,65.0,--
63756956274981,69.9,5.4,-0.5,0.0,65.0,--
63756956275980,69.4,4.9,-0.5,0.0,65.0,--
63756956276989,67.3,2.8,-0.5,0.0,65.0,--
63756956277979,65.5,1.0,-0.5,0.0,65.0,--
63756956278982,64.6,0.1,-0.5,0.0,65.0,--
63756956279985,65.4,0.9,-0.5,0.0,65.0,--
63756956280984,65.8,1.3,-0.5,0.0,65.0,--
63756956281991,65.3,0.8,-0.5,0.0,65.0,--
63756956282993,66.5,2.0,-0.5,0.0,65.0,--
63756956283997,65.2,0.7,-0.5,0.0,65.0,--
63756956284994,65.0,0.5,-0.5,0.0,65.0,--
63756956285996,64.9,0.4,-0.5,0.0,65.0,--
63756956286996,65.9,1.4,-0.5,0.0,65.0,--
63756956287997,65.6,1.1,-0.5,0.0,65.0,--
63756956289001,90.0,25.5,-0.5,0.0,65.0,--
63756956289997,65.5,1.0,-0.5,0.0,65.0,--
63756956290995,70.0,5.4,-0.5,0.0,65.0,--
63756956291999,86.2,21.6,-0.5,0.1,65.0,--
63756956292996,82.4,17.7,-0.5,0.2,65.0,--
63756956294006,96.1,31.5,-0.5,0.2,65.0,--
63756956295008,83.9,19.2,-0.5,0.2,65.0,--
63756956296012,89.4,24.6,-0.5,0.3,65.0,--
63756956297013,65.6,0.9,-0.5,0.3,65.0,--
63756956298028,80.2,15.0,-0.5,0.7,65.0,--
63756956299027,85.0,20.3,-0.5,0.2,65.0,--
63756956300028,78.3,13.1,-0.5,0.7,65.0,--
63756956301030,72.5,7.7,-0.5,0.2,65.0,--
63756956302041,66.0,1.2,-0.5,0.3,65.0,--
63756956303044,67.6,2.8,-0.5,0.3,65.0,--
63756956304060,78.5,13.7,-0.5,0.3,65.0,--
63756956305067,66.7,1.9,-0.5,0.4,65.0,--
63756956306062,65.5,0.6,-0.5,0.4,65.0,--
63756956307065,67.4,2.6,-0.5,0.4,65.0,--
63756956308066,66.3,1.4,-0.5,0.4,65.0,--
63756956309064,70.0,3.8,-0.5,1.7,65.0,--
63756956310076,79.7,13.1,-0.5,2.1,65.0,--
63756956311077,90.5,25.7,-0.5,0.3,65.0,--
