TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63756930598814,18.4,3.4,0.0,0.0,15.0,--
63756930599835,16.7,1.7,0.0,0.0,15.0,--
63756930600845,16.6,1.6,0.0,0.0,15.0,--
63756930601877,17.0,2.0,0.0,0.0,15.0,--
63756930602892,16.4,1.4,0.0,0.0,15.0,--
63756930603909,17.2,2.2,0.0,0.0,15.0,--
63756930604925,21.2,6.1,0.0,0.0,15.0,--
63756930605938,16.3,1.3,0.0,0.0,15.0,--
63756930606975,17.3,2.3,0.0,0.0,15.0,--
63756930607989,18.0,3.0,0.0,0.0,15.0,--
63756930609022,18.4,3.4,0.0,0.0,15.0,--
63756930610037,16.4,1.4,0.0,0.0,15.0,--
63756930611052,17.0,2.0,0.0,0.0,15.0,--
63756930612083,17.3,2.3,0.0,0.0,15.0,--
63756930613115,17.3,2.3,0.0,0.0,15.0,--
63756930614127,17.9,2.9,0.0,0.0,15.0,--
63756930615145,18.1,3.1,0.0,0.0,15.0,--
63756930616151,20.5,5.5,0.0,0.0,15.0,--
63756930617189,21.0,6.0,0.0,0.0,15.0,--
63756930618190,20.1,5.1,0.0,0.0,15.0,--
63756930619206,22.1,7.0,0.0,0.0,15.0,--
63756930620206,25.4,10.4,0.0,0.0,15.0,--
63756930621206,26.8,11.8,0.0,0.0,15.0,--
63756930622205,21.3,6.3,0.0,0.0,15.0,--
63756930623219,20.1,5.1,0.0,0.0,15.0,--
63756930624224,25.6,10.6,0.0,0.0,15.0,--
63756930625249,19.0,4.0,0.0,0.0,15.0,--
63756930626253,19.3,4.3,0.0,0.0,15.0,--
63756930627266,20.2,5.2,0.0,0.0,15.0,--
63756930628298,18.5,3.5,0.0,0.0,15.0,--
63756930629313,20.0,5.0,0.0,0.0,15.0,--
63756930630313,23.0,8.0,0.0,0.0,15.0,--
63756930631342,29.0,14.0,0.0,0.0,15.0,--
63756930632348,23.8,8.8,0.0,0.0,15.0,--
63756930633397,20.9,5.9,0.0,0.0,15.0,--
63756930634391,21.0,6.0,0.0,0.0,15.0,--
63756930635396,24.0,9.0,0.0,0.0,15.0,--
63756930636397,19.8,4.8,0.0,0.0,15.0,--
63756930637407,23.2,8.2,0.0,0.0,15.0,--
63756930638422,20.4,5.4,0.0,0.0,15.0,--
